,Orthomyxoviridae,Flaviviridae,Herpesviridae,Papillomaviridae,Retroviridae,Paramyxoviridae,Arenaviridae,Polyomaviridae,Coronaviridae,Poxviridae,Parvoviridae
A6NE01,0,0,0,0,0,0,0,0,0,0,0
P08922,0,0,0,0,0,0,0,0,0,0,0
Q5VU43,1,1,1,0,0,0,0,1,1,1,0
Q8NG31,1,0,1,0,0,0,0,0,0,0,0
Q96RV3,0,0,0,0,0,0,0,0,0,0,0
Q6P2Q9,1,1,1,1,1,1,1,0,0,0,0
Q9UMZ3,0,0,0,0,0,0,0,0,0,0,0
Q7Z7A1,0,0,1,0,0,0,0,0,1,1,0
Q6UVK1,0,0,1,1,0,0,0,0,0,0,0
Q9NSI6,0,0,0,0,0,0,0,0,0,0,0
Q13023,0,0,0,0,0,0,0,0,0,0,0
P23471,0,0,0,0,0,0,0,0,0,0,0
O95996,0,0,0,0,0,0,0,0,0,0,0
Q9P212,0,0,0,0,0,0,0,0,0,0,0
Q9Y3S1,0,0,0,0,0,0,0,0,0,1,0
Q5H9R4,0,0,0,0,0,0,0,0,0,0,0
Q07864,1,1,1,0,1,0,0,0,0,0,0
O14497,0,0,0,0,1,0,0,0,0,0,0
Q5VUA4,0,0,0,0,0,0,0,0,1,0,0
O60287,1,0,0,0,0,0,0,0,0,0,0
Q8WYP5,0,0,0,0,1,0,0,0,0,0,0
Q9Y2F5,0,0,0,0,0,0,0,0,0,0,0
A6NMZ7,0,0,0,0,0,0,0,1,0,0,0
Q9NTG1,0,0,0,0,0,0,0,0,0,0,0
Q9C0F0,0,0,0,0,0,0,0,0,0,0,0
Q9C0G0,0,0,0,0,0,0,0,0,0,0,0
Q68DE3,0,0,0,0,0,0,0,0,0,0,0
O75165,0,1,1,1,0,0,0,0,0,0,0
Q3T8J9,0,1,0,0,0,0,0,0,0,0,0
Q9BTC0,0,0,0,0,0,0,0,0,0,0,0
Q14667,0,0,0,0,0,0,0,0,0,0,0
Q13439,1,0,0,0,0,0,0,0,0,0,0
Q5JSZ5,1,1,1,0,0,0,0,0,1,0,0
Q86VV8,0,0,0,0,0,0,0,0,0,0,0
P27708,1,1,1,1,1,1,1,0,0,0,0
P12259,0,1,1,0,0,0,0,0,0,0,0
Q9Y6J0,0,0,0,0,0,0,0,0,0,0,0
Q13402,0,0,0,0,0,0,0,0,0,0,0
O95425,0,0,0,1,0,0,0,0,0,0,0
Q92673,0,0,0,1,0,0,0,0,0,0,0
Q7Z5N4,0,0,1,0,0,0,0,0,0,0,0
Q71F56,0,0,0,0,0,1,0,0,0,0,0
P50748,1,1,0,0,0,0,0,0,0,0,0
P24821,0,0,0,0,0,0,0,0,0,0,0
Q8N201,1,0,0,0,0,0,0,0,0,0,0
Q96BY6,0,0,0,0,0,0,0,0,0,0,0
Q5H8C1,0,0,0,0,0,0,0,0,0,0,0
Q93074,0,0,0,0,0,1,0,0,0,0,0
Q5TH69,0,0,0,1,0,0,0,0,0,0,0
Q86TB3,0,0,0,0,0,0,0,0,0,0,0
Q9UIF8,0,0,0,0,0,0,0,0,0,0,0
Q9Y566,0,0,0,0,0,0,0,0,0,0,0
P48634,1,0,0,0,1,0,0,0,0,0,0
P56715,0,0,0,0,0,0,0,0,0,0,0
Q5VYJ5,0,0,0,0,0,0,0,0,0,0,0
O75443,0,0,0,0,0,0,0,0,0,0,0
Q5THK1,1,0,0,0,0,0,0,0,0,0,0
P49750,0,0,0,1,0,0,0,0,0,0,0
Q9H583,1,1,0,0,1,1,0,0,0,0,0
Q96N67,1,1,0,1,0,1,0,0,0,0,1
P0C091,0,0,0,0,0,0,0,0,0,0,0
O75643,1,1,1,0,1,0,1,0,0,0,0
Q8NFU7,0,0,0,0,0,0,0,0,0,0,0
Q14674,0,0,0,0,0,0,0,0,0,0,0
Q14980,0,1,1,1,1,0,0,0,0,0,0
Q12789,1,0,1,0,0,1,0,1,0,0,0
Q2KJY2,0,0,0,0,1,0,0,0,0,0,0
Q86YA3,1,0,0,0,0,0,0,0,0,0,0
Q5HYC2,0,0,0,0,0,0,0,0,0,0,0
P42356,1,1,0,0,0,1,0,0,0,0,0
Q9Y2I7,0,1,1,0,0,1,0,0,0,0,0
O60522,0,0,0,0,0,0,0,0,0,0,0
P35658,1,0,1,0,1,0,0,0,1,0,0
Q8N4C6,1,0,0,0,0,0,0,0,1,0,0
Q14676,0,0,1,0,0,0,0,0,0,0,0
A7KAX9,0,1,0,0,0,0,0,0,0,0,0
O75923,0,0,0,0,0,0,0,0,0,0,0
Q96BY7,1,0,0,0,0,0,0,0,0,0,0
E9PAV3,1,0,1,1,0,0,0,0,0,0,0
Q8WYB5,0,0,0,0,1,0,0,0,0,0,0
Q9P2D3,0,0,0,0,0,0,0,0,0,0,0
O75970,0,0,0,1,0,0,0,0,0,0,0
O00468,0,1,0,1,0,0,0,0,0,0,0
Q8IVV2,0,0,0,0,0,0,0,0,0,0,0
Q96PE2,0,0,0,0,0,0,0,0,0,0,0
Q6UB98,0,1,0,0,0,0,0,0,0,0,0
Q9NZM1,1,0,1,1,0,0,0,1,0,0,0
A0A494C071,0,0,0,0,0,0,0,0,0,0,0
Q92614,0,1,0,0,0,0,0,0,0,0,0
Q8TD84,1,0,0,0,0,0,0,0,0,0,0
Q8IYD8,0,1,0,0,0,0,0,0,0,0,0
Q92576,0,0,0,0,0,0,0,0,0,0,0
Q6GYQ0,0,0,1,0,0,0,0,0,0,0,0
Q9ULL5,0,0,0,0,0,0,0,0,0,0,0
P51610,1,0,1,0,0,0,0,0,0,0,0
Q92817,0,0,0,0,0,0,0,0,0,0,0
Q14008,1,0,1,1,0,0,0,0,0,0,0
Q8IZD9,0,0,0,0,0,1,0,0,0,0,0
Q9P219,1,1,0,0,0,0,0,0,0,0,0
O14578,1,0,0,0,1,0,0,0,1,1,0
P53804,1,0,0,0,0,0,0,0,0,0,0
Q15154,0,1,0,1,0,0,0,0,0,0,0
Q5TZA2,0,0,0,0,0,0,0,0,0,0,0
Q38SD2,0,0,0,0,0,0,0,0,0,0,0
Q92621,1,1,0,0,1,1,0,0,0,0,0
A6NHR9,1,0,0,0,0,0,0,1,0,0,0
Q6N021,0,0,0,0,0,0,0,0,0,0,0
Q12873,1,1,1,0,1,0,0,0,0,0,0
P23467,0,0,0,0,1,0,0,0,0,0,0
Q8TF72,1,0,1,0,0,0,0,0,0,0,0
Q7Z406,1,1,1,0,1,0,0,0,0,1,0
Q14669,1,0,0,1,0,0,0,0,0,0,0
O60293,1,0,0,0,0,0,0,0,0,0,0
Q15858,0,0,0,1,0,0,0,0,0,0,0
Q68DN1,0,0,0,0,0,0,0,0,0,0,0
Q9UKL3,0,0,1,0,0,0,0,0,0,0,0
O60318,1,0,0,0,0,0,0,0,0,0,0
Q15643,0,1,1,0,0,0,0,0,0,1,0
Q14966,0,1,1,0,1,0,0,0,0,0,0
Q12888,0,0,1,0,0,0,0,0,0,0,0
P24928,1,0,1,0,1,1,0,0,0,0,0
Q05BV3,0,0,0,0,0,0,0,0,0,0,0
Q9UPS6,0,0,0,0,0,0,0,0,0,0,0
Q8NDV7,1,0,0,0,0,0,0,0,0,0,0
Q9UGU0,0,0,0,0,0,0,0,0,0,0,0
Q5T5U3,1,0,0,1,0,0,0,0,0,0,0
O94851,0,0,1,1,0,0,0,0,0,0,0
Q96QU1,0,0,0,0,0,0,0,0,0,0,0
Q6YHU6,1,0,1,0,0,0,0,1,0,0,0
Q9HCM3,0,1,0,0,0,0,0,0,0,0,0
Q4ZG55,0,1,0,0,0,0,0,0,0,0,0
Q9H1A4,0,0,0,1,1,0,0,0,0,0,0
Q5T5P2,0,0,0,0,1,0,0,0,0,0,0
Q07283,0,0,0,0,0,0,0,0,0,0,0
P42694,1,0,1,0,0,0,0,0,0,0,0
Q9UKX2,0,0,1,0,0,0,0,0,0,0,0
Q562E7,0,0,0,0,0,0,0,0,0,0,0
B5MCY1,0,0,0,0,0,0,0,0,0,0,0
P09848,0,0,0,0,0,0,0,0,0,0,0
Q6ZU64,0,0,0,0,0,0,0,0,0,0,0
Q9UPY3,1,1,0,1,1,0,0,0,0,0,0
Q8TDM6,0,0,1,0,0,0,0,0,0,0,0
Q9P2E3,1,0,0,0,0,0,0,0,0,0,0
Q13129,0,1,0,0,0,0,0,0,0,0,0
Q15746,0,0,1,0,0,0,0,0,0,0,0
Q5TCS8,0,0,0,0,0,0,0,0,0,0,0
Q7Z2Z1,0,0,0,0,0,0,0,0,0,0,0
Q5VZ89,0,0,0,0,0,0,0,0,0,0,0
O14513,0,0,0,0,0,0,0,0,0,0,0
P10586,0,0,1,0,0,0,0,0,0,0,0
Q5JRA6,0,0,0,0,1,0,0,0,0,1,0
Q96L96,0,0,0,0,0,0,0,0,0,0,0
Q7Z5J4,0,0,0,0,0,0,0,0,0,0,0
A3KMH1,0,0,1,0,0,0,0,0,0,0,0
O75096,0,0,0,1,0,0,0,0,0,0,0
Q9Y4B5,0,0,1,1,0,0,0,0,0,0,0
Q9UIF9,0,0,0,0,0,0,0,0,0,0,0
Q9UKA4,1,0,1,0,0,0,0,0,0,0,0
Q9P2P1,0,0,0,0,0,0,0,0,0,1,0
O75147,1,0,0,0,0,0,0,0,0,0,0
O75051,0,0,0,1,0,0,0,0,0,0,0
Q4ZHG4,1,0,0,0,0,0,0,0,0,0,0
Q96SN8,0,1,1,0,0,0,0,0,1,0,0
Q6ZT12,0,0,0,0,0,0,0,0,0,0,0
Q8TEM1,1,1,0,0,1,1,0,0,1,0,0
Q8IZJ3,0,0,0,0,0,0,0,0,0,0,0
Q9H2Y7,0,0,0,1,0,0,0,0,0,0,0
Q92545,0,0,0,0,0,0,0,0,0,0,0
P16157,0,0,0,0,0,0,0,0,0,0,0
Q2PPJ7,0,0,0,0,0,0,0,0,0,0,0
Q8N7Z5,0,0,0,0,0,0,0,0,0,0,0
P21675,0,1,0,1,1,0,0,1,0,0,0
Q14690,1,1,0,0,1,0,0,0,0,0,0
O95248,0,1,0,0,0,0,0,0,0,0,0
Q86WI3,0,0,0,0,0,0,0,0,0,0,0
Q96QT4,0,0,1,0,0,0,0,0,0,0,0
P38398,0,0,1,1,0,0,0,0,0,0,0
Q9C0D5,0,1,0,0,0,0,0,0,0,0,0
Q8IZC6,0,0,0,1,0,0,0,0,0,0,0
Q92824,0,0,0,0,1,0,0,0,0,0,0
Q92538,1,1,1,0,0,0,0,0,0,0,0
Q8IZD2,0,0,0,0,0,0,0,0,0,0,0
Q9Y6X6,0,0,0,0,0,0,0,0,0,0,0
O95153,0,1,1,0,0,0,0,0,0,0,0
Q96MT7,0,0,0,0,0,0,0,0,0,0,0
O14981,1,0,1,0,1,0,0,0,0,0,0
Q9Y6D6,1,0,0,0,1,1,0,0,0,0,0
Q9UPX8,0,0,0,0,0,0,0,0,0,0,0
Q6ZVL6,0,0,0,0,0,0,0,0,0,0,0
Q5VYK3,1,1,0,1,0,1,0,0,0,0,0
Q9UL36,0,0,0,0,0,0,0,0,0,0,0
Q96QE3,0,0,0,0,0,0,0,0,0,0,0
Q14997,0,0,1,0,0,0,0,0,0,0,0
Q702N8,0,0,0,0,0,0,0,0,0,0,0
P20908,0,0,0,0,0,0,0,0,0,0,0
A7E2V4,0,1,0,0,0,0,0,0,0,0,0
Q68CP9,0,1,0,1,0,0,0,0,0,0,0
Q8IY92,0,0,0,0,1,0,0,0,0,0,0
Q9UPQ9,0,0,0,0,0,0,1,0,0,0,0
O15015,0,1,0,0,0,0,0,0,0,0,0
P11137,0,1,0,1,0,0,0,0,0,0,0
Q9NQT8,0,0,0,0,0,0,0,0,0,0,0
P55196,0,1,0,0,1,0,0,0,0,0,0
Q16363,0,0,0,0,0,0,0,0,0,0,0
P16144,0,1,0,1,1,0,0,0,0,0,0
Q9C093,0,0,0,0,0,0,0,0,0,0,0
Q96Q89,0,0,1,0,0,0,0,0,0,0,0
Q53TS8,0,0,0,0,0,0,0,0,0,0,0
Q96RT7,0,0,1,0,0,0,0,0,0,0,0
P52948,1,1,1,0,1,0,0,0,1,0,0
O60333,0,1,1,0,0,0,0,0,0,0,0
Q69YN4,0,0,0,0,1,0,0,0,0,0,0
Q5JV73,0,0,1,0,0,0,0,0,0,0,0
P49815,1,0,0,1,0,0,0,0,0,0,0
Q9BY89,1,0,0,0,0,0,0,0,0,0,0
O43166,0,0,0,1,0,0,0,0,0,0,0
Q5VW36,1,0,0,0,0,0,0,0,0,0,0
Q460N5,0,0,0,0,0,0,0,0,0,0,0
Q9BYP7,0,0,0,0,0,0,0,0,0,1,0
P55268,0,1,1,0,0,0,0,0,0,0,0
Q05707,0,0,0,0,0,0,0,0,0,0,0
O43151,0,0,0,0,0,0,0,0,0,0,0
D6RIA3,0,0,0,0,0,0,0,0,0,0,0
Q7Z6E9,0,1,0,0,1,0,0,0,0,0,0
Q5XKL5,0,0,0,0,0,0,0,0,0,0,0
Q9BXP8,0,0,0,0,0,0,0,0,0,0,0
Q5H9F3,0,0,0,0,0,0,0,0,0,0,0
M0R2J8,0,0,0,0,0,0,0,0,0,0,0
Q02952,1,0,1,0,0,0,0,0,0,0,1
Q5JPF3,1,0,0,0,0,0,0,0,0,0,0
Q7RTU9,0,0,0,0,0,0,0,0,0,0,0
E2RYF6,0,0,0,0,0,0,0,0,0,0,0
Q9ULH0,0,0,1,0,0,0,0,0,0,0,0
Q86UW6,0,1,0,0,0,0,0,0,0,0,0
O94822,1,0,1,0,0,0,0,0,0,0,0
Q8N6G6,0,0,0,0,0,0,0,0,0,0,0
Q7LBC6,0,0,0,0,0,0,0,0,0,0,0
Q86V15,0,0,0,0,0,0,0,0,0,0,0
O60437,0,0,1,1,0,0,0,0,0,0,0
Q8IWV8,0,0,1,1,1,0,0,0,0,0,0
Q6W2J9,0,0,0,0,0,0,0,0,0,0,0
Q9Y238,0,0,0,0,0,0,0,0,0,0,0
P39060,0,0,0,1,0,0,0,0,0,0,0
Q5SRE5,1,0,0,0,1,0,0,0,0,0,0
Q76NI1,0,0,0,0,0,1,0,0,0,0,0
Q9UG01,0,0,0,0,0,0,0,0,0,0,0
Q07157,1,0,0,1,0,0,1,0,0,0,0
Q96KV7,0,0,0,0,0,0,0,0,0,0,0
Q9HCM1,0,0,1,0,0,0,0,0,0,0,0
Q9H792,0,0,0,0,0,0,0,0,0,0,0
P25940,0,0,0,0,0,0,0,0,0,0,0
P0C0L4,0,1,1,0,0,0,0,0,0,0,0
Q9Y4F3,0,0,0,0,0,0,0,0,0,0,0
Q9ULI1,0,0,0,0,0,0,0,0,0,0,0
Q8IZF0,0,0,0,0,0,0,0,0,0,0,0
Q2KHR3,1,0,0,0,0,0,0,0,0,0,0
Q5VT25,0,1,0,0,0,0,0,0,0,0,0
Q7Z443,0,0,0,0,0,0,0,0,0,0,0
Q86VF7,0,0,0,0,0,0,0,0,0,0,0
Q9C0C2,1,0,1,0,0,0,0,0,0,0,0
Q7KZ85,1,0,1,0,0,0,0,0,0,0,1
Q9UKK3,1,1,1,0,1,0,0,0,0,0,0
Q9Y4K1,0,0,0,0,0,0,0,0,0,0,0
O60449,0,0,0,0,1,0,0,0,0,0,0
Q9NZ56,0,0,0,0,0,0,0,0,0,0,0
Q96JM4,0,0,0,0,0,0,0,0,0,0,0
Q15811,1,0,0,0,0,0,0,1,0,0,0
O95602,0,0,1,0,0,0,0,0,0,0,0
Q9Y4F4,0,0,0,0,0,0,0,0,0,0,0
Q13029,0,0,0,0,0,0,0,0,0,0,0
Q7Z3U7,1,0,1,0,1,1,0,0,0,0,0
O60346,0,0,0,0,0,0,0,0,0,0,0
Q17RW2,0,0,0,0,0,0,0,0,0,0,0
P08572,1,1,0,1,0,0,0,0,0,0,0
Q8IY21,0,0,0,0,0,0,0,0,0,0,0
O14646,1,1,0,0,0,0,0,0,0,0,0
O94986,1,1,0,1,0,0,0,0,0,0,0
Q9BZZ2,0,0,0,0,0,0,0,0,0,0,0
Q9ULL0,0,0,0,0,0,0,0,0,0,0,0
Q6R327,1,0,0,0,0,0,0,0,0,0,0
O15047,0,0,0,0,1,0,0,0,0,0,0
Q8IZH2,0,0,0,0,1,0,0,0,0,0,0
Q8N1W1,1,1,0,0,0,0,0,0,0,0,0
Q9UPW8,1,0,0,0,0,0,0,0,0,0,0
Q8IVF5,0,0,0,0,0,0,0,0,0,0,0
Q9P1Z9,0,0,0,0,0,0,0,0,0,0,0
Q2M3C7,0,0,0,0,0,0,0,0,0,0,0
A6NM11,0,0,0,0,0,0,0,0,0,0,0
Q4KWH8,1,0,0,0,0,0,0,0,0,0,0
Q86UR5,1,0,0,0,0,0,0,0,0,0,0
Q8N9V7,0,0,0,0,0,0,0,0,0,0,0
P29375,0,0,1,0,0,0,0,0,0,0,0
P53420,0,0,0,0,0,0,0,0,0,0,0
Q86U86,1,0,0,0,1,0,0,0,0,0,0
Q92766,0,0,0,0,0,0,0,0,0,0,0
P52746,0,0,0,0,0,0,0,0,0,0,0
O00443,1,0,0,0,1,0,0,0,0,0,0
P29400,0,0,0,1,0,0,0,0,0,0,0
P52179,0,0,0,0,0,0,0,0,0,1,0
Q70EL1,1,0,1,0,0,0,0,0,1,0,0
Q8IWJ2,0,0,0,0,0,0,0,0,1,0,0
Q8WWI1,0,0,1,0,0,0,0,1,0,1,1
Q149N8,0,0,0,0,0,0,0,0,0,0,0
Q5JPB2,0,0,0,0,0,0,0,0,0,0,0
P01031,0,1,0,0,0,0,0,0,0,0,0
Q00610,1,1,1,0,0,0,1,0,0,1,0
A6NES4,0,0,0,0,0,0,0,0,0,0,0
Q01955,0,0,0,0,0,0,0,0,0,1,0
Q9UK61,1,0,0,0,0,0,0,0,0,0,0
Q5T200,0,1,0,0,0,0,0,0,0,0,0
Q8N7X0,0,0,0,0,0,0,0,0,0,0,0
Q8NDM7,0,0,0,0,0,0,0,0,0,0,0
Q5VV67,0,1,0,0,0,0,0,0,0,0,0
P01024,0,1,1,1,1,1,0,0,0,1,0
Q9H0J4,0,0,0,0,0,0,0,0,0,0,0
Q8N1P7,0,0,0,0,0,0,0,0,0,0,0
Q8TCU6,0,0,0,0,0,0,0,0,0,0,0
P46940,1,0,0,1,0,0,0,0,0,0,0
Q9UPZ6,0,0,0,0,0,0,0,0,0,0,0
H7BZ55,0,0,0,0,0,0,0,0,0,0,0
O95785,1,0,0,0,0,0,0,0,0,0,0
Q6T4R5,1,0,0,0,0,1,0,0,0,0,0
Q9Y6N7,0,0,1,0,0,0,0,0,0,0,0
Q9P1Y6,0,0,0,0,0,0,0,0,0,0,0
Q15058,1,0,0,0,0,0,0,0,0,0,0
P51532,1,0,1,0,1,0,0,0,0,0,0
Q8WXG6,0,0,0,0,0,0,0,0,0,0,0
O15054,0,0,0,0,0,0,0,0,0,0,0
Q8WWZ7,0,0,0,0,0,0,0,0,0,0,0
Q8NDA8,0,0,0,1,0,0,0,0,0,0,0
Q9UFD9,0,0,1,0,0,0,0,0,0,0,0
O75037,0,0,0,0,1,0,0,0,0,0,0
Q9H3S7,0,0,0,0,1,0,0,0,0,0,0
Q14160,1,1,1,1,1,0,0,0,0,1,0
Q02880,1,0,0,1,0,0,0,0,0,0,0
Q8NFW1,0,0,0,0,0,0,0,0,0,0,0
Q8N2S1,0,1,1,0,0,0,0,0,0,0,0
Q9BXT8,0,0,0,0,0,0,0,0,0,0,0
A6NE52,0,0,0,0,0,0,0,0,0,0,0
Q13395,1,0,0,0,0,0,0,0,0,0,0
P48681,0,0,0,0,0,0,0,0,0,0,0
Q9P2K1,0,0,0,0,0,0,0,0,0,0,0
Q9UM73,0,0,0,0,0,0,0,0,0,0,0
O60303,0,0,0,0,0,0,0,0,0,0,0
P26358,1,0,1,0,0,0,0,0,1,0,0
Q13796,0,0,0,1,0,0,0,0,0,0,0
Q8NEV4,0,0,0,0,0,0,0,0,0,0,0
Q5SYE7,0,0,1,0,0,0,0,0,0,0,0
Q96PN6,0,0,0,0,0,0,0,0,0,0,0
A2VDJ0,0,0,0,0,1,0,0,0,0,0,0
P11047,0,0,1,0,0,0,0,0,0,0,0
Q96RK0,0,1,0,0,0,0,0,0,0,0,0
Q9Y6R4,0,0,0,1,0,0,0,0,0,0,0
Q76N89,0,1,0,0,0,0,0,0,0,0,0
Q07092,0,0,0,0,0,0,0,0,0,0,0
O75140,0,0,0,0,0,0,0,0,0,0,0
Q5TGY3,0,0,0,0,0,0,0,0,0,0,0
Q8TEU7,0,0,0,0,0,0,0,0,0,0,0
Q04637,1,0,1,1,1,0,0,1,0,0,0
Q9Y6X0,1,0,0,0,0,0,0,0,0,0,0
P58397,0,1,0,0,0,0,0,0,0,0,0
Q8TDY2,0,1,0,0,0,0,0,0,0,0,0
Q8NI27,1,0,0,0,0,1,0,0,0,0,0
Q8N2E2,0,0,0,0,0,0,0,0,0,0,0
Q5K651,0,0,0,0,0,0,0,0,0,0,0
Q9GZU2,0,0,1,0,0,0,0,0,0,0,0
P10070,0,0,0,0,1,0,0,0,0,0,0
O60241,0,0,0,0,0,0,0,0,0,0,0
Q5SW79,1,0,1,1,1,0,0,0,0,0,0
Q9C0B2,0,0,0,0,0,0,0,0,0,0,0
Q7Z2Y5,0,0,0,0,0,0,0,0,0,0,0
Q15648,0,0,0,1,0,0,0,0,0,0,0
Q09428,0,0,0,0,0,0,0,0,0,0,0
Q5SYB0,0,0,0,0,0,0,0,0,0,0,0
Q6XZF7,0,0,0,0,0,0,0,0,0,0,0
Q9P265,0,0,0,0,0,0,0,1,0,0,0
Q6ZQQ2,0,0,0,0,0,0,0,0,0,0,0
A1L4H1,0,0,0,0,0,0,0,0,0,0,0
O43426,0,0,0,0,0,0,0,0,0,0,0
O60486,0,0,0,0,0,0,0,0,0,1,0
Q9P2R6,0,0,0,0,0,0,0,0,0,0,0
O15061,0,0,0,0,0,0,0,0,0,0,0
Q6PGP7,0,1,0,0,0,0,0,0,0,0,0
Q149M9,0,0,0,0,0,0,0,0,0,0,0
Q96JN8,0,0,1,1,0,0,0,0,0,0,0
O15069,0,0,0,0,0,0,0,0,0,0,0
Q5T890,1,0,0,0,0,0,0,0,0,0,0
Q9NZM4,0,0,0,0,0,0,0,0,0,0,0
Q9NRL2,0,1,1,1,0,0,0,0,0,0,0
Q9ULG1,0,0,0,0,0,0,0,0,0,0,0
Q9NYU2,1,1,0,0,1,0,0,0,0,0,0
O94913,0,0,1,0,0,0,0,0,0,0,0
Q9NRD9,0,0,0,1,0,0,0,0,0,0,0
Q5VZL5,0,0,0,1,0,0,0,0,0,0,0
Q92887,1,0,0,0,0,0,0,0,0,0,0
Q9NZN5,0,0,1,1,1,0,0,0,0,0,0
